LandisData	PnETSpeciesParameters															
PnETSpeciesParameters	FolN	FracFol	SLWmax	FracBelowG	TOfol	HalfSat	H4	H3	PsnTMin	LeafOnMinT	PsnTOpt	PsnTMax	SLWDel	AmaxA	AmaxB	k		EstRad
>>	----	-------	------	----------	-----	----------	------	------	-------	---------------	-------	-----------	------	-----	-----	----	------
phalepensis				2.6		0.08	240		0.315		0.34	450		160	118		5		3		26		39			0	5.3		21.5	0.5		0.58
psylvestris				2.3		0.06	240		0.31		0.36	425		150	110		3		1		20		38			0	5.3		21.5	0.5		0.59
jcommunis				0.8		0.07	200		0.35		0.50	421		155	115		5		3		21		38			0	5.3		21.5	0.5		0.60
joxycedrus				0.8		0.07	200		0.35		0.66	421		155	115		5		3		21		38			0	5.3		21.5	0.5 	0.60
pnigra					2.9		0.06	240		0.31		0.26	390		155	115		4		2		23		38			0	5.3		21.5	0.5		0.61
ppinaster				2.6		0.07	240		0.315		0.24	390		155	115		5		3		25		39			0	5.3		21.5	0.5		0.62
popnigra				2.7		0.023	85		0.31		1.00	362		145	105		4		2		31		38			0.2	-46		71.9	0.58	0.63
qfaginea				3		0.02	160		0.33		1.00	358		155	115		5		3		26		39			0.2	-46		71.9	0.58	0.64
qpyrenaica				3		0.022	100		0.32		1.00	358		150	110		3		1		22		38			0.2	-46		71.9	0.58	0.63
qilex					2.9		0.04	180		0.34		0.52	317		160	118		4		2		28		40			0	5.3		21.5	0.5		0.68
tall					0.80	0.09	100		0.30		0.75	287		160	118		4		2		27		40			0	5.3		21.5	0.5		0.68
medium					0.75	0.09	100		0.32		0.75	279		160	118		4		2		27		40			0	5.3		21.5	0.5		0.69
short					0.70	0.09	100		0.32		0.75	271		160	118		4		2		27		40			0	5.3		21.5	0.5		0.69
